epoch,Acivation,Batch_size,Comp_time,Cum_comp_time,Dropout_rate,Objective,Optimizer,_Dataset_name,_Model_id,_Model_setup,acc,loss,val_acc,val_loss
1,relu,64,41.541959285736084,83.45076155662537,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9854,0.04779701539625724,0.9824,0.05718940985333174
2,relu,64,41.56851005554199,125.01927161216736,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9904666666666667,0.031163167263877887,0.9823,0.05508942945934832
3,relu,64,41.364113569259644,166.383385181427,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.99365,0.02112522098425155,0.9815,0.0649196522808401
4,relu,64,41.46649146080017,207.84987664222717,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9956666666666667,0.014772182756336407,0.9825,0.0698006658557395
5,relu,64,41.418705463409424,249.2685821056366,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9962333333333333,0.012355380538711325,0.9818,0.07292312492612982
6,relu,64,41.43576669692993,290.7043488025665,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9968666666666667,0.009682118193331795,0.9826,0.07199416564374406
7,relu,64,41.30218243598938,332.0065312385559,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9974166666666666,0.007045456615577374,0.9817,0.07942797927347128
8,relu,64,41.33020210266113,373.33673334121704,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9981333333333333,0.006113729277160019,0.9814,0.08922243090741176
9,relu,64,41.35352683067322,414.69026017189026,0.3,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000001,CNN,0.9983333333333333,0.004996728955533278,0.9807,0.09090106723754433
0,relu,64,42.12967371940613,42.12967371940613,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9597333333333333,0.13503546914507947,0.9779,0.06555757850371301
1,relu,64,41.52134823799133,83.65102195739746,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9836833333333334,0.05355925223429998,0.983,0.05808842741884291
2,relu,64,42.23700213432312,125.88802409172058,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9881166666666666,0.0390246403021117,0.9808,0.06233471631994471
3,relu,64,41.88468670845032,167.7727108001709,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9908,0.02936927939327434,0.9827,0.0588821618322283
4,relu,64,41.86981177330017,209.64252257347107,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.992,0.02450701232366264,0.9819,0.06292098006776069
5,relu,64,41.402496576309204,251.04501914978027,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9938833333333333,0.018607977696865174,0.9825,0.06394015153285582
6,relu,64,41.13447117805481,292.1794903278351,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9949833333333333,0.01541286255759187,0.9826,0.073332276875159
7,relu,64,41.435250759124756,333.61474108695984,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9955,0.01404972917737905,0.9817,0.07288332337605534
8,relu,64,44.059471130371094,377.67421221733093,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9962666666666666,0.011345925923840454,0.983,0.07495813781665711
9,relu,64,41.974523067474365,419.6487352848053,0.5,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000002,CNN,0.9965,0.01043215434558612,0.9822,0.0824438550944149
0,relu,64,42.53094720840454,42.53094720840454,0.7,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000003,CNN,0.9577666666666667,0.14291460410008827,0.9792,0.06526527551151812
1,relu,64,42.098615646362305,84.62956285476685,0.7,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000003,CNN,0.9796,0.06708200059980154,0.98,0.06243326717764139
2,relu,64,41.90204739570618,126.53161025047302,0.7,sparse_categorical_crossentropy,Adam,MNIST_1000samples,000003,CNN,0.98355,0.053376376246660945,0.9814,0.05932247395329177
